,player_defMatchup_a,player_off_a,player_off_ht,player_defMatchup_ht,poss,ptsScored_team,fga,fg,fga3,fg3,qSQ,iso_actions,iso_pts,pick_actions,pick_pts,post_actions,post_pts,offBall_actions,offBall_pts,passes,assistOppCreated,touches,touches_direct,touches_catchAndShoot,touches_paint,touches_time,tov,fta,ft_player,fouls
511,"Lapointe, Uriah","Nading, Samuel",79,81,1,0,,,,,,,,1.0,0.0,,,0,0,2.0,1.0,2.0,1.0,0.0,0.0,6.84,,,,
874,"Lapointe, Uriah","Nading, Samuel",79,81,1,0,,,,,,,,2.0,0.0,,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,14.92,,,,
883,"Lapointe, Uriah","Nading, Samuel",79,81,1,0,1.0,0.0,0.0,0.0,28.7851572037,1.0,0.0,2.0,0.0,,,0,0,,,1.0,1.0,0.0,0.0,21.44,,,,
1339,"Lapointe, Uriah","Nading, Samuel",79,81,1,2,1.0,1.0,0.0,0.0,33.567944169,,,1.0,2.0,,,0,0,,,1.0,1.0,0.0,0.0,11.72,,,,
1575,"Lapointe, Uriah","Nading, Samuel",79,81,1,0,1.0,0.0,0.0,0.0,48.2959479094,1.0,0.0,1.0,0.0,,,0,0,,,1.0,1.0,0.0,0.0,15.44,,,,
2478,"Lapointe, Uriah","Nading, Samuel",79,81,1,2,,,,,,,,1.0,2.0,,,0,0,1.0,1.0,1.0,1.0,0.0,0.0,11.92,,,,
2647,"Lapointe, Uriah","Nading, Samuel",79,81,1,3,1.0,1.0,1.0,1.0,43.1955099106,1.0,3.0,1.0,3.0,,,0,0,1.0,0.0,2.0,1.0,0.0,0.0,9.56,,,,
3747,"Lapointe, Uriah","Nading, Samuel",79,81,1,0,1.0,0.0,0.0,0.0,30.1459878683,1.0,0.0,1.0,0.0,,,0,0,,,1.0,1.0,0.0,0.0,17.48,,,,
3857,"House, Brandyn","Nading, Samuel",79,76,1,3,1.0,1.0,1.0,1.0,44.2508876324,1.0,3.0,1.0,3.0,,,0,0,,,1.0,1.0,0.0,0.0,15.16,,,,
3914,"House, Brandyn","Nading, Samuel",79,76,1,1,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,1.0,0,0,,,1.0,1.0,0.0,0.0,20.08,,2.0,1.0,1.0
4133,"House, Brandyn","Nading, Samuel",79,76,1,3,1.0,1.0,0.0,0.0,34.913495183,,,1.0,0.0,,,1,2,2.0,1.0,4.0,3.0,0.0,1.0,4.293333333333334,,2.0,1.0,1.0
4355,"House, Brandyn","Nading, Samuel",79,76,1,0,1.0,0.0,1.0,0.0,40.0777190924,1.0,0.0,2.0,0.0,,,0,0,1.0,0.0,2.0,1.0,0.0,0.0,7.46,,,,
6032,"House, Brandyn","Nading, Samuel",79,76,1,0,,,,,,,,1.0,0.0,,,0,0,,,1.0,1.0,0.0,0.0,7.8,1.0,,,
7196,"Lawton, Jeremiah","Nading, Samuel",79,81,1,3,,,,,,1.0,3.0,2.0,3.0,,,1,3,1.0,1.0,1.0,1.0,0.0,0.0,13.04,,,,
7307,"Lawton, Jeremiah","Nading, Samuel",79,81,1,0,,,,,,,,,,,,0,0,2.0,0.0,2.0,0.0,0.0,0.0,3.72,,,,
7585,"Lawton, Jeremiah","Nading, Samuel",79,81,1,0,1.0,0.0,1.0,0.0,43.9760059118,1.0,0.0,1.0,0.0,,,0,0,1.0,0.0,2.0,1.0,0.0,0.0,8.76,,,,
8066,"Lawton, Jeremiah","Nading, Samuel",79,81,1,0,1.0,0.0,1.0,0.0,48.5310271382,1.0,0.0,,,,,0,0,,,1.0,1.0,0.0,0.0,3.24,,,,
8469,"Lawton, Jeremiah","Nading, Samuel",79,81,1,0,1.0,0.0,0.0,0.0,35.2853119373,1.0,0.0,,,,,2,0,,,1.0,1.0,0.0,0.0,7.44,,,,
8785,"Lawton, Jeremiah","Nading, Samuel",79,81,1,2,1.0,1.0,0.0,0.0,51.0899484158,1.0,2.0,1.0,2.0,,,0,0,,,1.0,1.0,0.0,0.0,14.48,,,,
9321,"Lawton, Jeremiah","Nading, Samuel",79,81,1,0,1.0,0.0,0.0,0.0,44.7696596384,1.0,0.0,1.0,0.0,,,0,0,,,1.0,1.0,0.0,0.0,7.8,,,,
9608,"Lawton, Jeremiah","Nading, Samuel",79,81,1,0,1.0,0.0,1.0,0.0,51.2532413006,2.0,0.0,1.0,0.0,,,3,0,3.0,0.0,4.0,1.0,0.0,0.0,3.54,,,,
10018,"Lawton, Jeremiah","Nading, Samuel",79,81,1,3,1.0,1.0,1.0,1.0,51.522731781,,,1.0,3.0,,,0,0,,,1.0,1.0,0.0,0.0,9.6,,,,
10270,"Morser, Cheyenne","Nading, Samuel",79,79,1,2,,,,,,,,3.0,0.0,,,0,0,2.0,0.0,3.0,0.0,0.0,0.0,4.75,,,,
10392,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,,,,,,,,,,,,1,0,1.0,0.0,1.0,0.0,0.0,0.0,3.96,,,,
10471,"Morser, Cheyenne","Nading, Samuel",79,79,1,0,1.0,0.0,0.0,0.0,32.7752828598,1.0,0.0,,,,,0,0,,,1.0,1.0,0.0,0.0,7.72,,,,
10491,"Morser, Cheyenne","Nading, Samuel",79,79,1,2,,,,,,,,,,,,0,0,,,,,,,,,,,
